epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5174.64,0.70162,0.51361,1.06661,0.95289,0.86697,0.96145,0.67301,1.08078,0.52175,1.33691,0.0013701,0.0013701,0.0013701
89,5229.05,0.71702,0.55194,1.087,0.95927,0.91429,0.97731,0.67697,1.11846,0.53154,1.37458,0.00131601,0.00131601,0.00131601
90,5283.8,0.69778,0.52374,1.06691,0.92989,0.91429,0.97097,0.68307,1.07649,0.51035,1.35159,0.00126604,0.00126604,0.00126604
91,5340.57,0.99382,0.64713,1.33525,0.93957,0.88857,0.96608,0.68258,1.0806,0.51583,1.3524,0.00122025,0.00122025,0.00122025
92,5386.88,1.01103,0.63877,1.33799,0.96901,0.89331,0.96099,0.69874,1.03049,0.52661,1.29531,0.00117868,0.00117868,0.00117868
93,5433.15,0.97247,0.60046,1.27772,0.97616,0.91429,0.96962,0.6905,1.04705,0.55239,1.28401,0.00114138,0.00114138,0.00114138
94,5482.64,0.96869,0.59459,1.2896,0.97985,0.9,0.98321,0.68219,1.10017,0.54377,1.35312,0.00110837,0.00110837,0.00110837
95,5527.06,0.94268,0.58822,1.26307,0.96997,0.92289,0.97681,0.70737,1.05477,0.50582,1.29386,0.00107971,0.00107971,0.00107971
96,5573.32,0.92773,0.56875,1.25604,0.9826,0.91429,0.96446,0.68377,1.07522,0.50888,1.3082,0.0010554,0.0010554,0.0010554
97,5620.75,0.9343,0.56003,1.26248,0.97947,0.94286,0.9811,0.70715,1.02446,0.49536,1.27774,0.00103548,0.00103548,0.00103548
98,5671.13,0.91276,0.53011,1.231,0.94089,0.90963,0.96147,0.70077,1.02304,0.49943,1.2823,0.00101997,0.00101997,0.00101997
99,5716.96,0.92948,0.54645,1.25719,0.96097,0.91429,0.96726,0.69211,1.00781,0.50849,1.27319,0.00100888,0.00100888,0.00100888
100,5760.92,0.90197,0.5142,1.2353,0.91609,0.93584,0.96809,0.71055,1.02117,0.52354,1.27962,0.00100222,0.00100222,0.00100222
